OrderNumber,WarehouseCode,Order Date,Ship Date,Category,Sales Channel,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Sales,Quantity,Discount,Profit
SO - 000124,WARE-UHY1004,16-07-2017,18-07-2017,Furniture,In-Store,USD,24,19,218,15,71.372,2,0.3,-1.0196
SO - 000125,WARE-NMK1003,25-09-2015,30-09-2015,Furniture,In-Store,USD,4,15,173,13,1044.63,3,0,240.2649
SO - 000126,WARE-NMK1003,16-01-2016,20-01-2016,Office Supplies,Online,USD,18,46,110,24,11.648,2,0.2,4.2224
SO - 000127,WARE-UHY1004,16-01-2016,20-01-2016,Technology,Wholesale,USD,7,32,229,46,90.57,3,0,11.7741
SO - 000128,WARE-UHY1004,17-09-2015,21-09-2015,Furniture,In-Store,USD,9,32,238,36,3083.43,7,0.5,-1665.0522
SO - 000129,WARE-NMK1003,17-09-2015,21-09-2015,Office Supplies,Online,USD,20,22,97,37,9.618,2,0.7,-7.0532
SO - 000130,WARE-NMK1003,17-09-2015,21-09-2015,Furniture,In-Store,USD,8,5,103,32,124.2,3,0.2,15.525
SO - 000131,WARE-PUJ1005,17-09-2015,21-09-2015,Office Supplies,Online,USD,8,29,305,23,3.264,2,0.2,1.1016
SO - 000132,WARE-PUJ1005,17-09-2015,21-09-2015,Office Supplies,Online,USD,13,35,303,14,86.304,6,0.2,9.7092
SO - 000133,WARE-UHY1004,17-09-2015,21-09-2015,Office Supplies,Online,USD,19,46,217,7,6.858,6,0.7,-5.715
SO - 000134,WARE-MKL1006,17-09-2015,21-09-2015,Office Supplies,Online,USD,17,42,362,46,15.76,2,0.2,3.546
SO - 000135,WARE-MKL1006,19-10-2017,23-10-2017,Office Supplies,Online,USD,26,2,335,40,29.472,3,0.2,9.9468
SO - 000136,WARE-NBV1002,08-12-2016,10-12-2016,Technology,Wholesale,USD,22,28,84,38,1097.544,7,0.2,123.4737
SO - 000137,WARE-UHY1004,08-12-2016,10-12-2016,Furniture,In-Store,USD,7,46,256,1,190.92,5,0.6,-147.963
SO - 000138,WARE-MKL1006,27-12-2015,31-12-2015,Office Supplies,Online,USD,12,22,360,17,113.328,9,0.2,35.415
SO - 000139,WARE-NMK1003,27-12-2015,31-12-2015,Furniture,In-Store,USD,4,34,90,40,532.3992,3,0.32,-46.9764
SO - 000140,WARE-NMK1003,27-12-2015,31-12-2015,Furniture,In-Store,USD,9,26,196,25,212.058,3,0.3,-15.147
SO - 000141,WARE-XYS1001,27-12-2015,31-12-2015,Technology,Wholesale,USD,7,26,40,2,371.168,4,0.2,41.7564
SO - 000142,WARE-MKL1006,10-09-2017,15-09-2017,Technology,Wholesale,USD,24,24,367,3,147.168,4,0.2,16.5564
SO - 000143,WARE-UHY1004,17-07-2016,22-07-2016,Office Supplies,Online,USD,25,18,249,34,77.88,2,0,3.894
SO - 000144,WARE-XYS1001,19-09-2017,23-09-2017,Office Supplies,Online,USD,11,21,6,11,95.616,2,0.2,9.5616
SO - 000145,WARE-UHY1004,11-03-2016,13-03-2016,Technology,Wholesale,USD,15,14,212,8,45.98,2,0,19.7714
SO - 000146,WARE-XYS1001,11-03-2016,13-03-2016,Office Supplies,Online,USD,23,3,37,11,17.46,2,0,8.2062
SO - 000147,WARE-XYS1001,20-10-2014,25-10-2014,Office Supplies,Online,USD,17,13,38,35,211.96,4,0,8.4784
SO - 000148,WARE-PUJ1005,20-06-2016,25-06-2016,Technology,Wholesale,USD,18,49,294,33,45,3,0,4.95
SO - 000149,WARE-NMK1003,20-06-2016,25-06-2016,Technology,Wholesale,USD,24,4,105,16,21.8,2,0,6.104
SO - 000150,WARE-XYS1001,18-04-2015,22-04-2015,Office Supplies,Online,USD,23,20,17,8,38.22,6,0,17.9634
SO - 000151,WARE-NMK1003,18-04-2015,22-04-2015,Office Supplies,Online,USD,4,19,109,44,75.18,6,0,35.3346
SO - 000152,WARE-NMK1003,18-04-2015,22-04-2015,Furniture,In-Store,USD,16,25,141,22,6.16,2,0,2.9568
SO - 000153,WARE-NMK1003,18-04-2015,22-04-2015,Furniture,In-Store,USD,19,8,111,16,89.99,1,0,17.0981
SO - 000154,WARE-MKL1006,11-12-2016,17-12-2016,Office Supplies,Online,USD,23,24,349,25,15.26,7,0,6.2566
SO - 000155,WARE-MKL1006,11-12-2016,17-12-2016,Technology,Wholesale,USD,27,13,360,4,1029.95,5,0,298.6855
SO - 000156,WARE-NMK1003,17-06-2016,18-06-2016,Office Supplies,Online,USD,24,32,148,33,208.56,6,0,52.14
SO - 000157,WARE-NMK1003,17-06-2016,18-06-2016,Office Supplies,Online,USD,19,28,103,45,32.4,5,0,15.552
SO - 000158,WARE-NBV1002,17-06-2016,18-06-2016,Furniture,In-Store,USD,13,8,59,45,319.41,5,0.1,7.098
SO - 000159,WARE-NBV1002,17-06-2016,18-06-2016,Office Supplies,Online,USD,14,47,60,1,14.56,2,0,6.9888
SO - 000160,WARE-UHY1004,17-06-2016,18-06-2016,Technology,Wholesale,USD,11,33,238,20,30,2,0,3.3
SO - 000161,WARE-NMK1003,17-06-2016,18-06-2016,Office Supplies,Online,USD,3,26,151,21,48.48,4,0.2,16.362
SO - 000162,WARE-NMK1003,17-06-2016,18-06-2016,Office Supplies,Online,USD,13,20,152,44,1.68,1,0,0.84
SO - 000163,WARE-PUJ1005,24-11-2015,30-11-2015,Technology,Wholesale,USD,20,6,262,8,13.98,2,0,6.1512
SO - 000164,WARE-NMK1003,24-11-2015,30-11-2015,Office Supplies,Online,USD,5,40,120,46,25.824,6,0.2,9.3612
SO - 000165,WARE-UHY1004,24-11-2015,30-11-2015,Office Supplies,Online,USD,18,23,233,46,146.73,3,0,68.9631
SO - 000166,WARE-NBV1002,24-11-2015,30-11-2015,Furniture,In-Store,USD,13,38,77,39,79.76,4,0,22.3328
SO - 000167,WARE-NBV1002,30-04-2015,05-05-2015,Furniture,In-Store,USD,4,30,69,11,213.115,5,0.3,-15.2225
SO - 000168,WARE-UHY1004,05-12-2014,10-12-2014,Office Supplies,Online,USD,23,42,215,37,1113.024,8,0.2,111.3024
SO - 000169,WARE-XYS1001,05-12-2014,10-12-2014,Technology,Wholesale,USD,9,1,30,35,167.968,4,0.2,62.988
SO - 000170,WARE-NMK1003,04-06-2016,06-06-2016,Office Supplies,Online,USD,25,11,169,10,75.88,2,0,35.6636
SO - 000171,WARE-MKL1006,18-09-2016,23-09-2016,Office Supplies,Online,USD,24,4,333,14,4.616,1,0.2,1.731
SO - 000172,WARE-NMK1003,14-09-2017,17-09-2017,Office Supplies,Online,USD,28,6,96,10,19.05,3,0,8.763
SO - 000173,WARE-PUJ1005,26-04-2015,02-05-2015,Furniture,In-Store,USD,24,17,289,45,831.936,8,0.2,-114.3912
SO - 000174,WARE-NMK1003,26-04-2015,02-05-2015,Furniture,In-Store,USD,3,7,140,22,97.04,2,0.2,1.213
SO - 000175,WARE-NMK1003,26-04-2015,02-05-2015,Office Supplies,Online,USD,1,1,107,1,72.784,1,0.2,-18.196
SO - 000176,WARE-MKL1006,09-12-2017,11-12-2017,Office Supplies,Online,USD,11,27,338,35,1.248,3,0.8,-1.9344
SO - 000177,WARE-UHY1004,09-12-2017,11-12-2017,Furniture,In-Store,USD,5,33,232,15,9.708,3,0.6,-5.8248
SO - 000178,WARE-UHY1004,09-12-2017,11-12-2017,Office Supplies,Online,USD,26,28,231,28,27.24,3,0.2,2.724
SO - 000179,WARE-NMK1003,26-11-2014,01-12-2014,Furniture,In-Store,USD,13,42,158,11,19.3,5,0.6,-14.475
SO - 000180,WARE-XYS1001,12-06-2016,15-06-2016,Office Supplies,Online,USD,18,5,36,29,208.16,1,0,56.2032
SO - 000181,WARE-UHY1004,12-06-2016,15-06-2016,Office Supplies,Online,USD,3,10,206,28,16.74,3,0,8.0352
SO - 000182,WARE-UHY1004,12-10-2014,16-10-2014,Office Supplies,Online,USD,10,34,255,15,14.9,5,0,4.172
SO - 000183,WARE-MKL1006,12-10-2014,16-10-2014,Office Supplies,Online,USD,14,23,336,27,21.39,1,0,6.2031
SO - 000184,WARE-PUJ1005,03-09-2015,08-09-2015,Office Supplies,Online,USD,20,18,307,15,200.984,7,0.2,62.8075
SO - 000185,WARE-XYS1001,13-11-2017,16-11-2017,Office Supplies,Online,USD,15,8,9,28,230.376,3,0.2,-48.9549
SO - 000186,WARE-NMK1003,28-05-2017,30-05-2017,Furniture,In-Store,USD,13,36,200,18,301.96,2,0,33.2156
SO - 000187,WARE-MKL1006,26-10-2017,02-11-2017,Technology,Wholesale,USD,6,47,337,30,19.99,1,0,6.7966
SO - 000188,WARE-NMK1003,26-10-2017,02-11-2017,Office Supplies,Online,USD,15,27,158,31,6.16,2,0,2.9568
SO - 000189,WARE-UHY1004,05-04-2016,10-04-2016,Office Supplies,Online,USD,13,5,249,8,158.368,7,0.2,13.8572
SO - 000190,WARE-NMK1003,17-09-2016,22-09-2016,Office Supplies,Online,USD,20,38,185,5,20.1,3,0,6.633
SO - 000191,WARE-NMK1003,17-09-2016,22-09-2016,Technology,Wholesale,USD,20,21,189,10,73.584,2,0.2,8.2782
SO - 000192,WARE-NMK1003,17-09-2016,22-09-2016,Office Supplies,Online,USD,22,24,170,43,6.48,1,0,3.1104
SO - 000193,WARE-NMK1003,31-01-2015,05-02-2015,Office Supplies,Online,USD,21,25,130,37,12.96,2,0,6.2208
SO - 000194,WARE-NMK1003,31-01-2015,05-02-2015,Furniture,In-Store,USD,5,11,149,15,53.34,3,0,16.5354
SO - 000195,WARE-NMK1003,31-01-2015,05-02-2015,Office Supplies,Online,USD,24,17,99,33,32.96,2,0,16.1504
SO - 000196,WARE-XYS1001,06-11-2017,12-11-2017,Office Supplies,Online,USD,27,5,21,17,5.682,1,0.7,-3.788
SO - 000197,WARE-NMK1003,09-11-2017,11-11-2017,Furniture,In-Store,USD,18,30,90,1,96.53,7,0,40.5426
SO - 000198,WARE-MKL1006,17-06-2017,20-06-2017,Office Supplies,Online,USD,14,9,360,15,51.312,3,0.2,17.9592
SO - 000199,WARE-XYS1001,06-09-2016,11-09-2016,Office Supplies,Online,USD,4,47,23,47,77.88,6,0,22.5852
SO - 000200,WARE-NMK1003,29-08-2016,02-09-2016,Office Supplies,Online,USD,20,5,144,40,64.624,7,0.2,22.6184
SO - 000201,WARE-NMK1003,29-08-2016,02-09-2016,Technology,Wholesale,USD,28,23,134,23,95.976,3,0.2,-10.7973
SO - 000202,WARE-NMK1003,29-08-2016,02-09-2016,Office Supplies,Online,USD,20,14,180,11,1.788,3,0.8,-3.0396
SO - 000203,WARE-XYS1001,01-12-2016,04-12-2016,Office Supplies,Online,USD,20,44,58,23,23.92,4,0,11.7208
SO - 000204,WARE-NMK1003,13-11-2015,17-11-2015,Technology,Wholesale,USD,12,38,175,43,238.896,6,0.2,-26.8758
SO - 000205,WARE-NMK1003,13-11-2015,17-11-2015,Furniture,In-Store,USD,14,14,95,1,102.36,3,0.2,-3.8385
SO - 000206,WARE-UHY1004,13-11-2015,17-11-2015,Office Supplies,Online,USD,13,34,231,31,36.882,3,0.7,-25.8174
SO - 000207,WARE-NMK1003,23-11-2017,28-11-2017,Technology,Wholesale,USD,1,13,199,11,74.112,8,0.2,17.6016
SO - 000208,WARE-XYS1001,23-11-2017,28-11-2017,Technology,Wholesale,USD,2,5,58,39,27.992,1,0.2,2.0994
SO - 000209,WARE-MKL1006,23-11-2017,28-11-2017,Office Supplies,Online,USD,2,2,345,3,3.304,1,0.2,1.0738
SO - 000210,WARE-UHY1004,15-10-2015,20-10-2015,Technology,Wholesale,USD,13,17,241,20,339.96,5,0.2,67.992
SO - 000211,WARE-NMK1003,25-12-2017,30-12-2017,Furniture,In-Store,USD,6,40,186,27,41.96,2,0,10.9096
SO - 000212,WARE-NMK1003,03-11-2016,10-11-2016,Office Supplies,Online,USD,7,15,144,8,75.96,2,0,22.788
SO - 000213,WARE-XYS1001,03-11-2016,10-11-2016,Office Supplies,Online,USD,20,12,40,11,27.24,6,0,13.3476
SO - 000214,WARE-PUJ1005,25-08-2014,27-08-2014,Office Supplies,Online,USD,6,25,288,32,40.096,14,0.2,14.5348
SO - 000215,WARE-NMK1003,25-08-2014,27-08-2014,Office Supplies,Online,USD,2,13,169,40,4.72,2,0.2,1.652
SO - 000216,WARE-PUJ1005,25-08-2014,27-08-2014,Office Supplies,Online,USD,15,18,277,21,23.976,3,0.2,7.4925
SO - 000217,WARE-UHY1004,25-08-2014,27-08-2014,Office Supplies,Online,USD,16,3,219,12,130.464,6,0.2,44.0316
SO - 000218,WARE-PUJ1005,02-03-2015,06-03-2015,Furniture,In-Store,USD,26,25,306,11,787.53,3,0,165.3813
SO - 000219,WARE-XYS1001,05-04-2015,10-04-2015,Office Supplies,Online,USD,8,11,7,22,157.794,1,0.7,-115.7156
SO - 000220,WARE-NBV1002,12-06-2016,15-06-2016,Furniture,In-Store,USD,28,44,78,4,47.04,3,0,18.3456
SO - 000221,WARE-XYS1001,12-06-2016,15-06-2016,Office Supplies,Online,USD,3,30,28,9,30.84,4,0,13.878
SO - 000222,WARE-XYS1001,12-06-2016,15-06-2016,Office Supplies,Online,USD,22,38,39,6,226.56,6,0,63.4368
SO - 000223,WARE-NMK1003,12-06-2016,15-06-2016,Office Supplies,Online,USD,19,47,122,2,115.02,9,0,51.759
SO - 000224,WARE-XYS1001,12-06-2016,15-06-2016,Technology,Wholesale,USD,4,17,48,32,68.04,7,0,19.7316
SO - 000225,WARE-XYS1001,26-12-2014,28-12-2014,Furniture,In-Store,USD,18,28,1,30,600.558,3,0.3,-8.5794
SO - 000226,WARE-NMK1003,20-09-2014,25-09-2014,Furniture,In-Store,USD,8,5,198,23,617.7,6,0.5,-407.682
SO - 000227,WARE-UHY1004,05-11-2017,12-11-2017,Office Supplies,Online,USD,1,32,242,5,2.388,2,0.7,-1.8308
SO - 000228,WARE-NMK1003,05-11-2017,12-11-2017,Office Supplies,Online,USD,27,21,200,14,243.992,7,0.2,30.499
SO - 000229,WARE-PUJ1005,06-11-2016,10-11-2016,Furniture,In-Store,USD,5,49,304,25,81.424,2,0.2,-9.1602
SO - 000230,WARE-XYS1001,06-11-2016,10-11-2016,Furniture,In-Store,USD,2,6,31,27,238.56,3,0,26.2416
SO - 000231,WARE-NBV1002,02-02-2017,05-02-2017,Technology,Wholesale,USD,19,47,71,33,59.97,5,0.4,-11.994
SO - 000232,WARE-UHY1004,02-02-2017,05-02-2017,Office Supplies,Online,USD,4,32,250,18,78.304,2,0.2,29.364
SO - 000233,WARE-NMK1003,02-02-2017,05-02-2017,Office Supplies,Online,USD,10,18,167,2,21.456,9,0.2,6.9732
SO - 000234,WARE-NMK1003,13-10-2016,19-10-2016,Office Supplies,Online,USD,22,8,132,4,20.04,3,0,9.6192
SO - 000235,WARE-XYS1001,13-10-2016,19-10-2016,Office Supplies,Online,USD,1,24,56,21,35.44,1,0,16.6568
SO - 000236,WARE-UHY1004,13-10-2016,19-10-2016,Office Supplies,Online,USD,21,11,259,26,11.52,4,0,3.456
SO - 000237,WARE-MKL1006,13-10-2016,19-10-2016,Office Supplies,Online,USD,20,50,341,25,4.02,2,0,1.9698
SO - 000238,WARE-NMK1003,13-10-2016,19-10-2016,Office Supplies,Online,USD,10,7,195,37,76.176,3,0.2,26.6616
SO - 000239,WARE-XYS1001,13-10-2016,19-10-2016,Office Supplies,Online,USD,19,2,33,40,65.88,6,0,18.4464
SO - 000240,WARE-PUJ1005,13-10-2016,19-10-2016,Furniture,In-Store,USD,2,18,279,41,43.12,14,0,20.6976
SO - 000241,WARE-NMK1003,05-09-2016,07-09-2016,Furniture,In-Store,USD,7,28,148,9,82.8,2,0.2,10.35
SO - 000242,WARE-NMK1003,18-09-2017,23-09-2017,Office Supplies,Online,USD,11,47,170,17,8.82,3,0,2.3814
SO - 000243,WARE-NMK1003,18-09-2017,23-09-2017,Office Supplies,Online,USD,3,27,181,38,10.86,3,0,5.1042
SO - 000244,WARE-NBV1002,18-09-2017,23-09-2017,Office Supplies,Online,USD,19,21,77,12,143.7,3,0,68.976
SO - 000245,WARE-NMK1003,22-12-2017,27-12-2017,Office Supplies,Online,USD,3,43,122,23,839.43,3,0,218.2518
SO - 000246,WARE-XYS1001,07-09-2015,12-09-2015,Office Supplies,Online,USD,24,42,36,18,671.93,7,0,20.1579
SO - 000247,WARE-UHY1004,22-10-2014,28-10-2014,Furniture,In-Store,USD,17,34,217,16,93.888,4,0.2,12.9096
SO - 000248,WARE-NBV1002,05-12-2016,09-12-2016,Technology,Wholesale,USD,20,37,63,12,384.45,11,0,103.8015
SO - 000249,WARE-MKL1006,05-12-2016,09-12-2016,Technology,Wholesale,USD,21,50,341,7,149.97,3,0,5.9988
SO - 000250,WARE-XYS1001,05-12-2016,09-12-2016,Furniture,In-Store,USD,3,17,36,35,1951.84,8,0,585.552
SO - 000251,WARE-NMK1003,05-12-2016,09-12-2016,Office Supplies,Online,USD,12,25,163,26,171.55,5,0,80.6285
SO - 000252,WARE-NMK1003,13-03-2016,16-03-2016,Office Supplies,Online,USD,12,21,101,43,157.92,5,0.2,17.766
SO - 000253,WARE-PUJ1005,13-03-2016,16-03-2016,Technology,Wholesale,USD,1,35,321,12,203.184,2,0.2,15.2388
SO - 000254,WARE-PUJ1005,31-05-2015,02-06-2015,Office Supplies,Online,USD,3,9,276,8,58.38,7,0,26.271
SO - 000255,WARE-NMK1003,31-05-2015,02-06-2015,Office Supplies,Online,USD,6,22,101,5,105.52,4,0,48.5392
SO - 000256,WARE-UHY1004,31-05-2015,02-06-2015,Office Supplies,Online,USD,5,28,248,4,80.88,6,0,21.0288
SO - 000257,WARE-NMK1003,28-05-2015,03-06-2015,Office Supplies,Online,USD,24,41,95,35,6.63,3,0,1.7901
SO - 000258,WARE-XYS1001,01-03-2014,06-03-2014,Furniture,In-Store,USD,20,28,33,5,457.568,2,0.2,51.4764
SO - 000259,WARE-XYS1001,20-11-2016,24-11-2016,Office Supplies,Online,USD,13,22,12,21,14.62,2,0,6.8714
SO - 000260,WARE-NMK1003,20-11-2016,24-11-2016,Technology,Wholesale,USD,10,26,119,35,944.93,7,0,236.2325
SO - 000261,WARE-PUJ1005,11-05-2016,12-05-2016,Office Supplies,Online,USD,23,12,290,40,5.98,1,0,2.691
SO - 000262,WARE-NMK1003,28-12-2015,31-12-2015,Technology,Wholesale,USD,17,31,110,36,54.384,2,0.2,1.3596
SO - 000263,WARE-NBV1002,16-11-2016,20-11-2016,Office Supplies,Online,USD,17,25,87,39,28.4,5,0,13.348
SO - 000264,WARE-NMK1003,07-11-2016,11-11-2016,Office Supplies,Online,USD,21,35,177,38,27.68,2,0.2,9.688
SO - 000265,WARE-NMK1003,08-09-2014,12-09-2014,Office Supplies,Online,USD,11,45,94,8,9.936,3,0.2,2.7324
SO - 000266,WARE-NMK1003,08-09-2014,12-09-2014,Technology,Wholesale,USD,1,19,126,19,8159.952,8,0.4,-1359.992
SO - 000267,WARE-XYS1001,08-09-2014,12-09-2014,Office Supplies,Online,USD,3,16,17,9,275.928,3,0.2,-58.6347
SO - 000268,WARE-NMK1003,08-09-2014,12-09-2014,Furniture,In-Store,USD,3,15,178,2,1740.06,9,0.3,-24.858
SO - 000269,WARE-NBV1002,08-09-2014,12-09-2014,Office Supplies,Online,USD,1,8,76,36,32.064,6,0.2,6.8136
SO - 000270,WARE-PUJ1005,08-09-2014,12-09-2014,Office Supplies,Online,USD,6,27,318,1,177.98,5,0.8,-453.849
SO - 000271,WARE-UHY1004,08-09-2014,12-09-2014,Technology,Wholesale,USD,21,12,217,21,143.976,3,0.2,8.9985
SO - 000272,WARE-PUJ1005,05-08-2014,09-08-2014,Office Supplies,Online,USD,2,30,278,12,20.94,3,0,9.8418
SO - 000273,WARE-MKL1006,05-08-2014,09-08-2014,Office Supplies,Online,USD,21,19,341,23,110.96,2,0,53.2608
SO - 000274,WARE-NMK1003,05-08-2014,09-08-2014,Furniture,In-Store,USD,16,44,122,3,340.144,7,0.2,21.259
SO - 000275,WARE-NMK1003,14-09-2014,19-09-2014,Office Supplies,Online,USD,11,24,200,47,52.448,2,0.8,-131.12
SO - 000276,WARE-XYS1001,14-09-2014,19-09-2014,Office Supplies,Online,USD,3,10,30,37,20.16,4,0.2,6.552
SO - 000277,WARE-UHY1004,21-04-2017,25-04-2017,Office Supplies,Online,USD,25,35,233,31,97.264,4,0.8,-243.16
SO - 000278,WARE-NMK1003,21-11-2015,23-11-2015,Furniture,In-Store,USD,18,38,151,28,396.802,7,0.3,-11.3372
SO - 000279,WARE-MKL1006,21-11-2015,23-11-2015,Office Supplies,Online,USD,24,31,353,25,15.88,5,0.2,-3.7715
SO - 000280,WARE-XYS1001,15-12-2015,19-12-2015,Office Supplies,Online,USD,25,40,43,7,3.28,1,0,1.4104
SO - 000281,WARE-MKL1006,05-12-2014,09-12-2014,Office Supplies,Online,USD,4,9,339,47,24.816,2,0.2,1.8612
SO - 000282,WARE-UHY1004,05-12-2014,09-12-2014,Technology,Wholesale,USD,26,41,228,26,408.744,7,0.2,76.6395
SO - 000283,WARE-NMK1003,19-11-2014,24-11-2014,Technology,Wholesale,USD,27,11,128,46,503.96,4,0,131.0296
SO - 000284,WARE-XYS1001,19-11-2014,24-11-2014,Technology,Wholesale,USD,28,48,55,2,149.95,5,0,41.986
SO - 000285,WARE-NMK1003,19-11-2014,24-11-2014,Technology,Wholesale,USD,24,4,177,33,29,2,0,7.25
SO - 000286,WARE-NBV1002,28-11-2016,02-12-2016,Office Supplies,Online,USD,2,4,81,18,7.16,2,0,3.4368
SO - 000287,WARE-MKL1006,26-08-2014,30-08-2014,Technology,Wholesale,USD,1,40,365,41,176.8,8,0,22.984
SO - 000288,WARE-XYS1001,16-07-2016,22-07-2016,Office Supplies,Online,USD,15,19,48,27,37.224,3,0.2,3.7224
SO - 000289,WARE-XYS1001,16-07-2016,22-07-2016,Office Supplies,Online,USD,11,24,11,42,20.016,3,0.2,6.255
SO - 000290,WARE-NMK1003,12-10-2015,14-10-2015,Furniture,In-Store,USD,11,6,127,39,899.136,4,0.2,112.392
SO - 000291,WARE-NMK1003,12-10-2015,14-10-2015,Technology,Wholesale,USD,13,6,201,35,71.76,6,0,20.0928
SO - 000292,WARE-MKL1006,12-10-2015,14-10-2015,Office Supplies,Online,USD,8,9,339,28,51.84,8,0,24.8832
SO - 000293,WARE-NMK1003,12-10-2015,14-10-2015,Furniture,In-Store,USD,3,3,198,9,626.352,3,0.2,46.9764
SO - 000294,WARE-NMK1003,12-10-2015,14-10-2015,Office Supplies,Online,USD,15,36,150,2,19.9,5,0,6.567
SO - 000295,WARE-PUJ1005,31-10-2015,06-11-2015,Office Supplies,Online,USD,19,27,311,46,14.28,7,0,6.7116
SO - 000296,WARE-PUJ1005,21-03-2014,25-03-2014,Office Supplies,Online,USD,5,29,304,25,7.408,2,0.2,1.2038
SO - 000297,WARE-UHY1004,21-03-2014,25-03-2014,Office Supplies,Online,USD,5,11,247,32,6.048,3,0.2,1.5876
SO - 000298,WARE-PUJ1005,06-11-2017,13-11-2017,Office Supplies,Online,USD,11,24,265,41,46.26,3,0,12.0276
SO - 000299,WARE-MKL1006,06-07-2017,13-07-2017,Office Supplies,Online,USD,5,38,366,37,2.946,2,0.7,-2.2586
SO - 000300,WARE-NMK1003,06-07-2017,13-07-2017,Office Supplies,Online,USD,19,38,125,14,16.056,3,0.2,5.8203
SO - 000301,WARE-NMK1003,24-06-2017,29-06-2017,Office Supplies,Online,USD,27,20,182,47,21.744,3,0.2,6.795
SO - 000302,WARE-NMK1003,03-08-2014,05-08-2014,Furniture,In-Store,USD,11,46,152,24,218.75,2,0.5,-161.875
SO - 000303,WARE-UHY1004,03-08-2014,05-08-2014,Office Supplies,Online,USD,1,38,256,25,2.6,1,0.2,0.2925
SO - 000304,WARE-NBV1002,17-12-2017,21-12-2017,Office Supplies,Online,USD,19,5,66,20,66.284,2,0.8,-178.9668
SO - 000305,WARE-NMK1003,03-06-2017,07-06-2017,Furniture,In-Store,USD,17,32,156,33,35.168,7,0.2,9.6712
SO - 000306,WARE-NMK1003,09-12-2017,14-12-2017,Technology,Wholesale,USD,26,36,200,10,444.768,4,0.2,44.4768
SO - 000307,WARE-PUJ1005,01-12-2017,07-12-2017,Office Supplies,Online,USD,12,1,299,7,83.92,4,0,5.8744
SO - 000308,WARE-NMK1003,01-12-2017,07-12-2017,Technology,Wholesale,USD,17,22,199,31,131.98,2,0,35.6346
SO - 000309,WARE-NMK1003,01-12-2017,07-12-2017,Office Supplies,Online,USD,15,21,157,1,15.92,4,0,7.4824
